doc_id,doc_type,title,content
KB001,DatasetMapping,Customer Master,"customer master (have customer details) - customer name, boiler_history(have or not), boiler_company (if have), customer_id, registration_date, have_insurance"
KB002,DatasetMapping,Customer Holdings,"customer holdings (customer location) - city, pincode, region, customer_id, terrain"
KB003,DatasetMapping,Property Master,"property master (customer property details) - customer_id, property_type, number of floors, rooms, have gas pipeline, external or internal electricity source (like solar or company provided), property built date"
KB004,DatasetMapping,Boiler Master,"boiler master (which customer contains boiler and of which type) - customer_id, installation date, boiler type, boiler manufacturer, model, energy rating, voltage, have insurance, last service date, fault history, boiler_id"
KB005,DatasetMapping,Installation History,"installation history (boiler installation details) - customer_id, lead date, lead id, mode of conversation with customer (call, visit, email, app), appointment date, appointment happened? (yes or no), sale date, sale happened? (yes or no), installation date, installation happened? (yes or no), insurance purchased? (yes or no)"
KB006,DatasetMapping,Service History,"service history (boiler service history) - customer_id, service date, service type, parts serviced"
KB007,DatasetMapping,Repair History,"repair history (boiler repair history) - customer_id, repair date, repair type, parts changed, fault code, fault reason"
KB008,DatasetMapping,Visit Outcome,"visit outcome (Engineer visit outcome for service or repair) - customer_id, visit date, visit status, customer feedback"
KB009,DatasetMapping,Fault Codes,"fault codes (Fault details) - explanation related fault codes, severity, repair cost"
KB010,DatasetMapping,Parts Replaced,"parts replaced (replaced parts details) - part, replacement cost, severity, average life span"
KB011,DatasetMapping,Engineer Master,"engineer master (engineer details) - engineer name, pay_id, home_location, work_location, joining date"
KB012,DatasetMapping,Engineer Availability and Shifts,"engineer availability and shifts (engineer shifts and downtimes) - pay_id, shift date, shift start time, shift end, lunch start, lunch end, non productive event start time, non productive event end time"
KB013,DatasetMapping,Engineer Skill,"engineer skill (engineer skill category) - pay_id, direct labour or contractor, training result, profiency, multi skill or single skill, primary skill, secondary skill"
KB014,DatasetMapping,Engineer Productivity,"engineer productivity (engineer productivity or utilization) - pay_id, shift date, productivity (workload hrs/available hrs * 8)"
KB015,DatasetMapping,Appointment Schedule,"appointment schedule (repair or service jobs booking schedules) - appointment date, job id, job category, severity, assigned pay_id"
KB016,DatasetMapping,Contact Center Interaction,"contact center interaction (how customer contacted to book repair jobs/service jobs) - job id, job registration datetime, contact center agent id, mode of contact (call, visit, email, app)"
KB017,DatasetMapping,Product and Warranty Info,"product & warranty info (boiler details) - boiler id, boiler type, energy ration, energy consumption, life span, manufacturer, imported?, warranty, addition warranty purchased? if so then end date"
KB018,DatasetMapping,Quotes and Sales,"quotes and sales (quotation offered for each leads) - lead id, primary qutation, secondary quotation, final quotation"
KB019,DatasetMapping,Regional Demand Forecast,"regional demand forecast (forecast for repair and service jobs) - date, job type (service or repair), detailed category, number of jobs, jobs hours"
KB020,DatasetMapping,Regional Capacity Forecast,"regional capacity forecast (forecast for engineer capacity details) - date, eng skill type, gross hours, non productive event, overtime, available hours"
KB021,DatasetMapping,Inventory and Van Stock,"inventory & van stock (inventory details to help service and repair jobs) - location, part category, manufacturer, part type, in stock, recycled?"
KB022,DatasetMapping,Weather,"weather (historical weather data) - pincode, date, temperature, humidity, rain, wind, solar radiation, atmospheric pressure"
KB023,General,Welcome Message,"Welcome to the Enterprise Knowledge Hub. I can assist with any historical data, future forecasting, or diagnostic data you need."
KB024,DatasetMapping,Business KPIs and Metrics,"For queries about KPI definitions, thresholds, or business rules, use business_rules.csv."
