doc_id,doc_type,title,content
KB001,Manual,Guide,Sample content
KB002,Manual,Guide,Sample content
KB003,Manual,Guide,Sample content
KB004,Manual,Guide,Sample content
KB005,Manual,Guide,Sample content
KB_DATASET_001,Dataset Definition,customer master,"customer master (have customer details, current & future) - customer name, boiler_history(have or not), boiler_company (if have), customer_id, registration_date, have_insurance"
KB_DATASET_002,Dataset Definition,customer holdings,"customer holdings (customer location, current & future) - city, pincode, region, customer_id, terrain"
KB_DATASET_003,Dataset Definition,property master,"property master (customer property details, current & future) - customer_id, property_type, number of floors, rooms, have gas pipeline, external or internal electricity source (like solar or company provided), property built date"
KB_DATASET_004,Dataset Definition,boiler master,"boiler master (which customer contains boiler and of which type, current & future) - customer_id, installation date, boiler type, boiler manufacturer, model, energy rating, voltage, have insurance, last service date, fault history, boiler_id"
KB_DATASET_005,Dataset Definition,installation history,"installation history (boiler installation details, current) - customer_id, lead date, lead id, mode of conversation with customer (call, visit, email, app), appointment date, appointment happened? (yes or no), sale date, sale happened? (yes or no), installation date, installation happened? (yes or no), insurance purchased? (yes or no)"
KB_DATASET_006,Dataset Definition,service history,"service history (boiler service history, current) - customer_id, service date, service type, parts serviced"
KB_DATASET_007,Dataset Definition,repair history,"repair history (boiler repair history, current) - customer_id, repair date, repair type, parts changed, fault code, fault reason"
KB_DATASET_008,Dataset Definition,visit outcome,"visit outcome (Engineer visit outcome for service or repair, current & future) - customer_id, visit date, visit status, customer feedback"
KB_DATASET_009,Dataset Definition,fault codes,"fault codes (Fault details) - explanation related fault codes, severity, repair cost"
KB_DATASET_010,Dataset Definition,parts replaced,"parts replaced (replaced parts details, current & future) - part, replacement cost, severity, average life span"
KB_DATASET_011,Dataset Definition,engineer master,"engineer master (engineer details, current & future) - engineer name, pay_id, home_location, work_location, joining date"
KB_DATASET_012,Dataset Definition,engineer availability and shifts,"engineer availability and shifts (engineer shifts and downtimes, current) - pay_id, shift date, shift start time, shift end, lunch start, lunch end, non productive event start time, non productive event end time"
KB_DATASET_013,Dataset Definition,engineer skill,"engineer skill (engineer skill category, current & future) - pay_id, direct labour or contractor, training result, profiency, multi skill or single skill, primary skill, secondary skill"
KB_DATASET_014,Dataset Definition,engineer productivity,"engineer productivity (engineer productivity or utilization, current) - pay_id, shift date, productivity (workload hrs/available hrs * 8)"
KB_DATASET_015,Dataset Definition,appointment schedule,"appointment schedule (repair or service jobs booking schedules, current & future) - appointment date, job id, job category, severity, assigned pay_id"
KB_DATASET_016,Dataset Definition,contact center interaction,"contact center interaction (how customer contacted to book repair jobs/service jobs, current & future) - job id, job registration datetime, contact center agent id, mode of contact (call, visit, email, app)"
KB_DATASET_017,Dataset Definition,product & warranty info,"product & warranty info (boiler details, current & future) - boiler id, boiler type, energy ration, energy consumption, life span, manufacturer, imported?, warranty, addition warranty purchased? if so then end date"
KB_DATASET_018,Dataset Definition,quotes and sales,"quotes and sales (quotation offered for each leads, current) - lead id, primary qutation, secondary quotation, final quotation"
KB_DATASET_019,Dataset Definition,regional demand forecast,"regional demand forecast (forecast for repair and service jobs, future) - date, job type (service or repair), detailed category, number of jobs, jobs hours"
KB_DATASET_020,Dataset Definition,regional capacity forecast,"regional capacity forecast (forecast for engineer capacity details, future) - date, eng skill type, gross hours, non productive event, overtime, available hours"
KB_DATASET_021,Dataset Definition,inventory & van stock,"inventory & van stock (inventory details to help service and repair jobs, current & future) - location, part category, manufacturer, part type, in stock, recycled?"
KB_DATASET_022,Dataset Definition,weather,"weather (historical weather data, current & future) - pincode, date, temperature, humidity, rain, wind, solar radiation, atmospheric pressure"
